,ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
8662,78550007,carrefour,4878637.0,161421.0,78550,Lieu-dit La Porte d'Épernon,Maulette,R
2912,30160001,carrefour,4429233.0,409340.0,30160, Rue du Docteur Paul Vermale,BESSEGES,R
8842,80230003,carrefour,5017200.0,164900.0,80230,HAMEAU DE PINCHEFALISE,Boismont,R
6159,59239002,carrefour,5047447.5983978,305124.86498764,59239,4 Rue Pasteur,Thumeries,R
5012,47200008,carrefour,4448400.0,18400.0,47200,Avenue Hubert Ruffe,MARMANDE,R
2935,30250003,carrefour,4379100.0,409100.0,30250,Lotissement de la Tuilerie,Villevieille,R
9956,91490004,carrefour,4839900.0,243700.0,91490,ZA LE CHENET,Milly-la-Forêt,R
8837,80210001,carrefour,5006153.703,159455.665,80210,43 RUE VICTOR HUGO,FEUQUIèRES-EN-VIMEU,R
6154,59230001,carrefour,5044200.0,342700.0,59230,Rue des Faïenciers Fauquez,SAINT-AMAND-LES-EAUX,R
2921,30210001,carrefour,4393900.0,457400.0,30210,Impasse Roussin,REMOULINS,R
8686,78700002,carrefour,4900644.751,211854.078,78700,10 Place de la Liberté et du 8 Mai 1945,Conflans-Sainte-Honorine,R
5733,56190011,carrefour,4756016.876,-250584.059,56190,ZAC DE TOULAN,Ambon,R
2898,30130003,carrefour,4424700.0,464400.0,30130,1573 Avenue du Général de Gaulle,PONT-SAINT-ESPRIT,R
2893,30127001,carrefour,4375724.08919,451195.169942,30127,4 avenue des arenes,BELLEGARDE,R
3254,32500001,carrefour,4386026.9167696,65929.91017,32500,Route de Lectoure,FLEURANCE,R
3226,32100003,carrefour,4396500.0,36700.0,32100,lieu dit hontaut,Condom,R
8498,77390003,carrefour,4863502.0,279900.0,77390,L OREE DE GUIGNES,GUIGNES,R
6838,63600001,carrefour,4554300.0,372900.0,63600,Route du PUY,AMBERT,R
2952,30330001,carrefour,4415673.0,462264.0,30200,AVENUE DE LA MAYRE,BAGNOLS-SUR-CèZE,R
3505,33980002,carrefour,4469600.0,-97900.0,33980,ROUTE DE BORDEAUX,AUDENGE,R
3506,33990002,carrefour,4519400.0,-105100.0,33990,1bis rue cantelaude,HOURTIN,R
8328,76570001,carrefour,4956400.0,95200.0,76570,RUE DES ACACIAS,Pavilly,R
8327,76560001,carrefour,4972100.0,78200.0,76560,6 rue Jean Varin,DOUDEVILLE,R
10324,95420002,carrefour,4915700.0,178400.0,95420,route de rouen,MAGNY-EN-VEXIN,R
6161,59240002,carrefour,5105000.0,241400.0,59240,Boulevard de l'Europe,DUNKERQUE,R
6043,58700002,carrefour,4717570.7127423,331418.00673959,58700,LE BRIOU,PREMERY,R
8634,78360002,carrefour,4890666.0,211625.0,78360,40 Avenue Gabriel Péri,MONTESSON,R
10364,95800001,carrefour,4905575.0,201880.0,95650,RUE NEUVE,PUISEUX-PONTOISE,R
8765,79300001,carrefour,4683500.0,-48200.0,79300,27 Boulevard de l'Europe,BRESSUIRE,R
6737,62990001,carrefour,5042500.0,190100.0,62990,rue du 21 mai 1940,BEAURAINVILLE,R
2741,29170005,carrefour,4789500.0,-401700.0,29170,LIEU DIT MANER KER ELO,FOUESNANT,R
6123,59180001,carrefour,5099600.0,236700.0,59180,1 Rue du Hoogheporte,CAPPELLE-LA-GRANDE,R
2723,29120005,carrefour,4784200.0,-428300.0,29120,12 RUE LOUIS MEHU,PLOMEUR,R
6059,59111001,carrefour,5029249.14941,330109.415523,59111,AVENUE KENNEDY,BOUCHAIN,R
6150,59221001,carrefour,5051700.0,289400.0,59221,75 bis rue jean jaures,BAUVIN,R
6172,59265001,carrefour,5026625.0327214,315955.37708461,59265,Route Nationale 43,Aubigny-au-Bac,R
9748,88800002,carrefour,4819808.36143,594032.57296,88800,rue du lieutenant gauffre,VITTEL,R
2963,30400001,carrefour,4397900.0,478600.0,30400,Route de Pujaut,VILLENEUVE-LèS-AVIGNON,R
6782,63200006,carrefour,4588800.0,312300.0,63200,RUE DU CREUX,Riom,R
6020,58300001,carrefour,4683800.0,347900.0,58300,Route de Champvert,DECIZE,R
2975,30500002,carrefour,4425500.0,420300.0,30500,Route d'Uzès,Saint-Ambroix,R
2981,30600004,carrefour,4368958.60086,427325.79259363,30600,206 avenue de la condamine,vauvert,R
4942,46100007,carrefour,4460700.0,202400.0,46100,15 Avenue Président Georges Pompidou,FIGEAC,R
8650,78470001,carrefour,4871600.0,208500.0,78470,PLACE DE BEAUPLAN,SAINT-RéMY-LèS-CHEVREUSE,R
8326,76550001,carrefour,4987174.0,104855.0,76550,AVENUE DE LA HETRAIE,Offranville,R
8649,78450001,carrefour,4881900.0,200400.0,78450,Avenue Nagelmackers.,VILLEPREUX,R
8648,78440001,carrefour,4899000.0,183500.0,78440,Avenue de Paris,GARGENVILLE,R
6789,63230002,carrefour,4582700.0,285100.0,63230,18 Avenue de la Gare,Pontgibaud,R
8846,80260001,carrefour,5000140.0,231608.0,80260,Rue du Château d'Eau,Villers-Bocage,R
8849,80270001,carrefour,4997400.0,194100.0,80270,Route d'Abbeville,Airaines,R
8658,78540001,carrefour,4897600.0,199500.0,78540,Rue de la Grosse Pierre,VERNOUILLET,R
5727,56150001,carrefour,4787700.0,-302000.0,56150,ZA de Kermestre,BAUD,R
4863,45300007,carrefour,4816172.0599323,225764.24704192,45300,RUE DES PORTES DU GATINAIS,Dadonville,R
3519,34070003,carrefour,4358900.0,385500.0,34070,1742 Route de Toulouse,MONTPELLIER,R
8275,76330002,carrefour,4948189.0,58305.0,76330,Rue Jérôme Cardan,Notre-Dame-de-Gravenchon,R
8270,76300004,carrefour,4941400.0,109100.0,76300,AVENUE JEAN JAURES,Sotteville-lès-Rouen,R
5693,55500001,carrefour,4867700.0,532600.0,55500,Rue de la Ballastière,Ligny-en-Barrois,R
3667,34920001,carrefour,4365961.3186824,393616.96295143,34920,Route de Jacou,LE CRèS,R
8265,76280002,carrefour,4964033.0,22423.0,76280,2 place du Marché,Gonneville-la-Mallet,R
8257,76250001,carrefour,4947100.0,104300.0,76250,44 Rue de la République,Déville-lès-Rouen,R
8252,76230002,carrefour,4947011.65096,111748.807822,76230,Rue de la République,BOIS-GUILLAUME,R
5700,56000003,carrefour,4764400.0,-274300.0,56000,rue Jean Perrin,VANNES,R
8251,76230001,carrefour,4947557.0,110624.0,76230,AVENUE DE L'EUROPE,BOIS-GUILLAUME,R
3687,35120001,carrefour,4855100.0,-172500.0,35120,P.A. Les Rolandières,DOL-DE-BRETAGNE,R
3691,35131001,carrefour,4804600.0,-171100.0,35131,La Croix aux Potiers,CHARTRES-DE-BRETAGNE,R
3695,35136004,carrefour,4808200.0,-171200.0,35136,14 COURS CAMILLE CLAUDEL,ST JACQUES DE LA LANDE,R
3697,35140001,carrefour,4825900.0,-140800.0,35140,28 RUE DE RENNES,SAINT-AUBIN-DU-CORMIER,R
3707,35200003,carrefour,4809129.7777798,-164185.27606305,35200,Boulevard Paul Hutin Desgrées,RENNES,R
6365,60260001,carrefour,4915600.0,244500.0,60260,79 Avenue de la Libération,LAMORLAYE,R
8284,76370001,carrefour,4992600.0,111500.0,76370,52 Avenue de la Libération,Dieppe,R
3586,34370001,carrefour,4338700.0,311000.0,34370,ROUTE DE BEZIERS,CAZOULS-LèS-BéZIERS,R
8297,76410001,carrefour,4930300.0,103500.0,76410,Rue de la Résistance,Saint-Aubin-lès-Elbeuf,R
8309,76450001,carrefour,4979200.0,63400.0,76450,Avenue Maximiliansau,Cany-Barville,R
8308,76440008,carrefour,4961100.0,154700.0,76440,27 rue des docteurs Cisseville,Forges-les-Eaux,R
3600,34420003,carrefour,4332200.0,329100.0,34420,Ancienne Route de Sérignan,Villeneuve-lès-Béziers,R
8303,76430004,carrefour,4952535.29936,36511.2606713,76430,Rue du MAILLON,SAINT-ROMAIN-DE-COLBOSC,R
8301,76420004,carrefour,4945900.0,112600.0,76420,Rue du Maréchal de Lattre de Tassigny,BIHOREL,R
8255,76240002,carrefour,4941200.0,113700.0,76240,2 ROUTE DE PARIS,Le Mesnil-Esnard,R
5740,56230005,carrefour,4766200.0,-245900.0,56230,14 RUE JEAN GRIMAUD,QUESTEMBERT,R
3455,33670001,carrefour,4477208.8427,-33507.7945189,33670,Route de Sauveterre,Créon,R
3561,34230002,carrefour,4353500.0,345300.0,34230,zae la barthe bp6 la carnuse,paulhan,R
3541,34140001,carrefour,4343000.0,360900.0,34140,Avenue de Montpellier,MèZE,R
5724,56130002,carrefour,4753507.0,-228322.0,56130,routes de nantes,NIVILLAC,R
8317,76500005,carrefour,4928600.0,100900.0,76500,7 rue du Neubourg,ELBEUF,R
3555,34200002,carrefour,4340612.0,370318.0,34200,332 Avenue du Maréchal Juin,Sète,R
8315,76490002,carrefour,4952922.0,72064.0,76490,rue sainte gertrude,Caudebec-en-Caux,R
10359,95640001,carrefour,4914700.0,197500.0,95640,BOULEVARD GAMBETTA,MARINES,R
8333,76600001,carrefour,4949500.0,15500.0,76600,"35, rue de la Vallée",LE HAVRE,R
3562,34250002,carrefour,4353500.0,391100.0,34250,LES 4 CANAUX,PALAVAS-LES-FLOTS,R
10227,94460001,carrefour,4874926.0,245465.0,94460,44 rue Sablonnière,Valenton,R
5759,56320002,carrefour,4803187.0,-349344.0,56320, Rue de Quimper,LE FAOUëT,R
8936,81230002,carrefour,4370900.0,269800.0,81230,Rue Henri Antoine,LACAUNE,R
6312,59910001,carrefour,5070600.0,310134.0,59910,AVENUE DU GENERAL DE GAULLE,BONDUES,R
8351,76680001,carrefour,4967000.0,128400.0,76680,Avenue Emmanuel Brion,SAINT-SAëNS,R
6313,59920001,carrefour,5040300.0,366900.0,59920,53 Avenue Jean Jaurès,QUIéVRECHAIN,R
5748,56270003,carrefour,4773400.0,-343000.0,56270,Rue de Saint-Bieuzy,Ploemeur,R
3262,32600002,carrefour,4360100.0,106900.0,32600,Route de Samatan Lombez,L'ISLE-JOURDAIN,R
3489,33780001,carrefour,4551400.0,-111300.0,33780,3 rue Jean Goudineau,Soulac-sur-Mer,R
5747,56270001,carrefour,4864400.0,-283700.0,22680,BD des islandais,ÉTABLES-SUR-MER,R
9966,91590001,carrefour,4848500.0,234500.0,91590,26 rue Eugène Millet,LA FERTé-ALAIS,R
6315,59940001,carrefour,5064200.0,270500.0,59940,ROUTE DE MERVILLE,ESTAIRES,R
8346,76620002,carrefour,4950600.0,10100.0,76620,"8, rue Romain Rolland Sanvic",Le Havre,R
5741,56240003,carrefour,4791384.1,-333338.13,56240,Creis Er Prat,PLOUAY,R
3488,33770001,carrefour,4454800.0,-87700.0,33770,"2, rue du Martinet",SALLES,R
3582,34340002,carrefour,4335800.0,351300.0,34340,Route de Bessan,Marseillan,R
6732,62940001,carrefour,5046700.0,256500.0,62940,RUE EMILE ZOLA,HAILLICOURT,R
2800,29500003,carrefour,4799900.0,-405300.0,29500,LE ROUILLEN - La Salle Verte,Ergué-Gabéric,R
6729,62910001,carrefour,5082100.0,219600.0,62910,RUE BLEUE MAISON,Éperlecques,R
6237,59500005,carrefour,5049700.0,286700.0,62410,87 Route de Meurchin,WINGLES,R
3110,31370001,carrefour,4341400.0,111700.0,31370,Route de Samatan,RIEUMES,R
9730,88500001,carrefour,4830300.0,611900.0,88500,23 Rue du pré Paradis,MIRECOURT,R
6792,63260003,carrefour,4601017.1298393,319710.85238038,63260,ZAC De Juilhat,Aigueperse,R
6184,59287002,carrefour,5034647.2836108,314827.07370177,59287,bd ambroize croizat,Guesnain,R
10298,95280001,carrefour,4900000.0,201600.0,95280,Les versants de l'Hautil,Jouy-le-Moutier,R
8859,80320001,carrefour,4981593.0,280259.0,80320,34 RUE ROGER SALENGRO,CHAULNES,R
3086,31270005,carrefour,4354600.0,135300.0,31270,Rue Henry Gladi,CUGNAUX,R
3084,31270003,carrefour,4352500.0,132300.0,31270,CHEMIN MAILHEAUX,FROUZINS,R
6004,58200001,carrefour,4741412.51216,292602.785587,58200,58 Rue du Maréchal Leclerc,COSNE-COURS-SUR-LOIRE,R
3071,31220002,carrefour,4320800.0,108600.0,31220,Avenue Pasteur,CAZèRES,R
6005,58200002,carrefour,4739000.0,292300.0,58200,RN7 COSNE SUD,COSNE-COURS-SUR-LOIRE,R
3066,31210004,carrefour,4308800.0,56600.0,31210,avenue du nord,Montréjeau,R
3054,31190003,carrefour,4336353.8424,145777.136189,31190,89 Route de Toulouse,AUTERIVE,R
8621,78290001,carrefour,4888112.0,213987.0,78290,22 Avenue du Général de Gaulle,Croissy-sur-Seine,R
6182,59286001,carrefour,5042000.0,310800.0,59286,140 Rue Jean Jaurès,Roost-Warendin,R
3048,31170001,carrefour,4357552.0,131989.0,31170,Route de Tarbes,Tournefeuille,R
4925,45800003,carrefour,4791129.0,197122.0,45800,RUE DE LA MAIRIE,SAINT-JEAN- DE-BRAYE,R
8550,77700004,carrefour,4885000.0,281900.0,77700,17 Place de l'Europe,Bailly-Romainvilliers,R
6249,59550001,carrefour,5012400.0,368900.0,59550,Boulevard des Résistants,LANDRECIES,R
8850,80290001,carrefour,4977600.0,197800.0,80290,RUE DU CAPITAINE FAY,POIX-DE-PICARDIE,R
3240,32200001,carrefour,4362600.0,88000.0,32200,Boulevard du Nord,GIMONT,R
9931,91380007,carrefour,4869900.0,232100.0,91380,118 Rue de la Passerelle,CHILLY-MAZARIN,R
3151,31500013,carrefour,4359800.0,148600.0,31500,6 rue claudius Rougenet,Toulouse,R
5686,55300001,carrefour,4889000.0,555100.0,55300,RUE DU DOCTEUR THIERRY,Saint-Mihiel,R
8867,80400001,carrefour,4974200.0,309100.0,80400,Route de Chauny,HAM,R
6231,59490001,carrefour,5035800.0,327800.0,59490,Rue Pierre Sémard,Somain,R
7478,69330002,carrefour,4579600.0,504800.0,69330,Boulevard Louis Pradel,JONAGE,R
5337,50600002,carrefour,4858800.0,-108700.0,50600,7 ZA la Rivière,PARIGNY,R
5343,50700001,carrefour,4951200.0,-147800.0,50700,Boulevard Félix-Buhot,VALOGNES,R
9200,83560007,carrefour,4372900.0,580000.0,83560,Chemin du Plan,VINON-SUR-VERDON,R
5347,50710001,carrefour,4919900.0,-156800.0,50710,113 RUE DU HAUT CHEMIN,CREANCES,R
7519,69420001,carrefour,4545700.0,475700.0,69420,RN 86 La Maladière,CONDRIEU,R
6663,62510002,carrefour,5073600.0,228000.0,62510,Avenue Georges Brassens,ARQUES,R
4290,40200001,carrefour,4419300.0,-122900.0,40200,3 route de Baleste,MIMIZAN,R
4288,40190003,carrefour,4388500.0,-30700.0,40190,AVENUE JEAN JAURES,VILLENEUVE-DE-MARSAN,R
6577,62170002,carrefour,5044800.0,174900.0,62170,Rue de Paris,CAMPIGNEULLES-LES-PETITES,R
