,ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
7637,70300001,auchan,4782100.0,639200.0,70300,RN 57,LUXEUIL-LES-BAINS,R
1091,13150001,auchan,4381100.0,466600.0,13150,route d'avignon,TARASCON,R
7587,69803001,auchan,4572040.516769,492424.13988113,69800,BLD. André Boulloche BP 341,Saint-Priest,R
7550,69571001,auchan,4582100.0,476600.0,69570,23 Avenue de la Porte de Lyon,Dardilly,R
9180,83500001,auchan,4311300.0,585800.0,83500,"780,Boulevard de l'Europe",LA SEYNE-SUR-MER,R
7512,69400009,auchan,4598900.0,471000.0,69400,420 Rue Philippe Héron,Villefranche-sur-Saône,R
7469,69300001,auchan,4580500.0,485900.0,69300,10 Chemin Jean Petit,Caluire-et-Cuire,R
7457,69230001,auchan,4567900.0,479200.0,69230,Les basses barolles,SAINT-GENIS-LAVAL,R
7432,69170001,auchan,4589200.0,444200.0,69170,7 Avenue Édouard Herriot,Tarare,R
7429,69160001,auchan,4575700.0,478100.0,69160,35 AVENUE GENERAL BROSSET,TASSIN-LA-DEMI-LUNE,R
1160,13400001,auchan,4329300.0,559300.0,13783,Route de gemenos,AUBAGNE,R
1184,13500001,auchan,4341800.0,505300.0,13500,Avenue Julien Olive Canto-Perdrix,MARTIGUES,R
7351,68480002,auchan,4750000.0,730700.0,68480,20A rue de la première Armée,Ferrette,R
7308,68200001,auchan,4777700.0,733500.0,68200,170 rue des Romains,MULHOUSE,R
1199,13560004,auchan,4374200.0,508600.0,13560,ZAC DE LA CAPELETTE,Sénas,R
7248,67700002,auchan,4874100.0,737600.0,67700,61 Rue de Dettwiller,SAVERNE,R
7228,67590001,auchan,4883400.0,774200.0,67590,7 Rue de Niederbronn,SCHWEIGHOUSE-SUR-MODER,R
7225,67560002,auchan,4850300.0,748700.0,67560,33C Avenue de la Gare,ROSHEIM,R
6768,63150001,auchan,4559100.0,275800.0,63150,BOULEVARD DES VERNIERES,LA BOURBOULE,R
1320,14200008,auchan,4921338.6733024,-34206.617988224,14200,Avenue de Garbsen,Hérouville-Saint-Clair,R
8801,80044001,auchan,4986225.3148461,227754.69819,80480,Centre Commercial Amiens Sud Rn1,Dury,R
